post_id,user_post,processed_post,topic,cluster,cluster_label,sentiment_scores,neg,neu,pos,compound,positive_membership,negative_membership,neutral_membership
1,User1234: Absolutely love the new Riverside Park! The walking trails are beautiful and perfect for my morning jogs. 🌳🏃‍♀️,absolutely love new riverside park walking trail beautiful perfect morning jog,1,3,3,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.9244}",0.0,0.564,0.436,0.9244,0.436,0.0,0.564
2,"GreenThumb89: The new park is a great addition, but I wish there were more shaded areas. It's pretty sunny most of the day.",new park great addition wish shaded area pretty sunny day,1,3,3,"{'neg': 0.0, 'neu': 0.547, 'pos': 0.453, 'compound': 0.9337}",0.0,0.547,0.453,0.9337,0.453,0.0,0.547
3,CityDweller: Not sure about this new park. It feels like it's taking up space that could be used for affordable housing.,sure new park feel like taking space could used affordable housing,3,0,0,"{'neg': 0.084, 'neu': 0.81, 'pos': 0.107, 'compound': 0.1376}",0.084,0.81,0.107,0.1376,0.10689310689310688,0.0839160839160839,0.8091908091908091
4,HappyHiker: Spent the afternoon with my family at the new park. The playground is fantastic and the picnic areas are well-maintained!,spent afternoon family new park playground fantastic picnic area wellmaintained,1,3,3,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.5983}",0.0,0.837,0.163,0.5983,0.163,0.0,0.837
5,"UrbanPlanner: I appreciate the effort to add green spaces, but the layout seems cramped. It might get too crowded on weekends.",appreciate effort add green space layout seems cramped might get crowded weekend,1,3,3,"{'neg': 0.0, 'neu': 0.911, 'pos': 0.089, 'compound': 0.2144}",0.0,0.911,0.089,0.2144,0.089,0.0,0.911
6,NatureLover: The biodiversity in the new park is impressive. Saw several bird species I haven't seen in years. 🦉🌿,biodiversity new park impressive saw several bird specie havent seen year,1,3,3,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.5106}",0.0,0.837,0.163,0.5106,0.163,0.0,0.837
7,"TrafficJammed: Ever since the park opened, traffic around the area has doubled. Parking is a nightmare!",ever since park opened traffic around area doubled parking nightmare,3,2,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,0.0,0.0,1.0
8,"FitnessFan: The outdoor gym equipment in the park is a game-changer. Finally, a place to work out without paying a membership.",outdoor gym equipment park gamechanger finally place work without paying membership,4,0,0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,0.0,0.0,1.0
9,"SkepticalSam: Looks nice, but I’m worried about the safety at night. Better lighting and security are needed.",look nice im worried safety night better lighting security needed,0,0,0,"{'neg': 0.102, 'neu': 0.439, 'pos': 0.459, 'compound': 0.8674}",0.102,0.439,0.459,0.8674,0.459,0.102,0.439
10,FamilyFirst: My kids love the new splash pad! It's kept them entertained for hours. Great addition for families.,kid love new splash pad kept entertained hour great addition family,1,3,3,"{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.906}",0.0,0.571,0.429,0.906,0.429,0.0,0.571
11,"OldTimer: I remember when this area was just vacant land. Glad it's been transformed, but miss the old charm a bit.",remember area vacant land glad transformed miss old charm bit,3,2,2,"{'neg': 0.081, 'neu': 0.682, 'pos': 0.237, 'compound': 0.5647}",0.081,0.682,0.237,0.5647,0.237,0.081,0.682
